# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	STRUCTURE	ALIGNMENT	CROSSIDS	MORPHEMES	NOTE
#
1	Khispi	1sg	ga	ga	g a	i n	g a	1	1SG	
2	Duhumbi	1sg	ga	ga	g a	i n	g a	1	1SG	
3	Khoina	1sg	guː	guː	g uː	i n	g uː	1	1SG	
4	Jerigaon	1sg	guː	guː	g uː	i n	g uː	1	1SG	
5	Khoitam	1sg	guː	guː	g uː	i n	g uː	1	1SG	
6	Rahung	1sg	guː	guː	g uː	i n	g uː	1	1SG	
7	Rupa	1sg	guː	guː	g uː	i n	g uː	1	1SG	
8	Shergaon	1sg	guː	guː	g uː	i n	g uː	1	1SG	
#
9	Khispi	2pl.excl	na-lu	na+lu	n a + l u	i n + i n	n a + l u	5 2	2PL _excl1	
10	Duhumbi	2pl.excl	na-ɹ	na+ɹ	n a + ɹ	i n + i	n a + ɹ -	5 2	2PL _excl1	
14	Rahung	2pl.excl	na-ryː	na+ryː	n a + r yː	i n + i n	n a + r yː	5 2	2PL _excl1	
15	Rupa	2pl.excl	naː-bluŋ	naː+bluŋ	n aː + bl u ŋ	i n + i n c	n aː + bl u ŋ	5 1285	2PL _excl2	
16	Shergaon	2pl.excl	naː-bluŋ	naː+bluŋ	n aː + bl u ŋ	i n + i n c	n aː + bl u ŋ	5 1285	2PL _excl2	
#
17	Khispi	2pl.incl	nal-tʰe	nal+tʰe	n a + l + tʰ e	i n + i + i n	n a + l + tʰ e -	5 3 4	2PL _excl1 _incl1	
18	Duhumbi	2pl.incl	naɹ-tʰeˀ	naɹ+tʰeˀ	n a + ɹ + tʰ eˀ	i n + i + i n	n a + ɹ + tʰ eˀ -	5 3 4	2PL _excl1 _incl1	
19	Khoina	2pl.incl	na-tʰik	na+tʰik	n a + tʰ i k	i n + i n c	n a + tʰ i k	5 4	2PL _incl1	
20	Jerigaon	2pl.incl	na-tʰik	na+tʰik	n a + tʰ i k	i n + i n c	n a + tʰ i k	5 4	2PL _incl1	
21	Khoitam	2pl.incl	na-tʰɛk	na+tʰɛk	n a + tʰ ɛ k	i n + i n c	n a + tʰ ɛ k	5 4	2PL _incl1	
22	Rahung	2pl.incl	na-tʰɛk	na+tʰɛk	n a + tʰ ɛ k	i n + i n c	n a + tʰ ɛ k	5 4	2PL _incl1	
23	Rupa	2pl.incl	naː-tʰik	naː+tʰik	n aː + tʰ i k	i n + i n c	n aː + tʰ i k	5 4	2PL _incl1	
24	Shergaon	2pl.incl	naː-tʰik	naː+tʰik	n aː + tʰ i k	i n + i n c	n aː + tʰ i k	5 4	2PL _incl1	
#
25	Khispi	2sg	naŋ	naŋ	n a ŋ	i n c	n a ŋ	6	2SG	
26	Duhumbi	2sg	naŋ	naŋ	n a ŋ	i n c	n a ŋ	6	2SG	
27	Khoina	2sg	naŋ	naŋ	n a ŋ	i n c	n a ŋ	6	2SG	
28	Jerigaon	2sg	naŋ	naŋ	n a ŋ	i n c	n a ŋ	6	2SG	
29	Khoitam	2sg	naŋ	naŋ	n a ŋ	i n c	n a ŋ	6	2SG	
30	Rahung	2sg	naŋ	naŋ	n a ŋ	i n c	n a ŋ	6	2SG	
31	Rupa	2sg	naŋ	naŋ	n a ŋ	i n c	n a ŋ	6	2SG	
32	Shergaon	2sg	naŋ	naŋ	n a ŋ	i n c	n a ŋ	6	2SG	
#
33	Khispi	3sg	wuj	wuj	w uj	i n	w uj	7	3SG	
34	Duhumbi	3sg	wɔj	wɔj	w ɔj	i n	w ɔj	7	3SG	
35	Khoina	3sg	laŋ-waː	laŋ+waː	l a ŋ + w aː	i n c + i n	l a ŋ + w aː	10 7	upthere 3SG	
36	Jerigaon	3sg	waː	waː	w aː	i n	w aː	7	3SG	
37	Khoitam	3sg	waː-ʥi	waː+ʥi	w aː + dʑ i	i n + i n	w aː + dʑ i	7 9	3SG _ji-suffix2	
38	Rahung	3sg	hɛˀ ~ ɛˀ	hɛˀ	(h)/h ɛˀ	i n	(h)/h ɛˀ	8	3SG	
39	Rupa	3sg	waː	waː	w aː	i n	w aː	7	3SG	
40	Shergaon	3sg	waː	waː	w aː	i n	w aː	7	3SG	
#
603	Khoina	Bugun	ʂə-luŋ	ʂə+luŋ	ʂ ə + l u ŋ	i n + i n c	ʂ ə + l u ŋ	11 12	_sa-prefix7 Bugun	
606	Rahung	Bugun	su-luŋ	su+luŋ	s u + l u ŋ	i n + i n c	s u + l u ŋ	11 12	_sa-prefix7 Bugun	
607	Rupa	Bugun	sə-luŋ	sə+luŋ	s ə + l u ŋ	i n + i n c	s ə + l u ŋ	11 12	_sa-prefix7 Bugun	
608	Shergaon	Bugun	su-luŋ	su+luŋ	s u + l u ŋ	i n + i n c	s u + l u ŋ	11 12	_sa-prefix7 Bugun	
#
2041	Khispi	Indo-Aryan person	bi-ʨʰa	bi+ʨʰa	b i + tɕʰ a	i n + i n	b i + tɕʰ a	15 13	_human-prefix INDIAN	
2042	Duhumbi	Indo-Aryan person	bi-ʨʰa	bi+ʨʰa	b i + tɕʰ a	i n + i n	b i + tɕʰ a	15 13	_human-prefix INDIAN	
2043	Khoina	Indo-Aryan person	də-ʨʰuː	də+ʨʰuː	d ə + tɕʰ uː	i n + i n	d ə + tɕʰ uː	16 13	_da-prefix3 INDIAN	
2045	Khoitam	Indo-Aryan person	ʨʰə-ʨʰuː	ʨʰə+ʨʰuː	tɕʰ ə + tɕʰ uː	i n + i n	tɕʰ ə + tɕʰ uː	14 13	_cha-prefix INDIAN	
2046	Rahung	Indo-Aryan person	ʨʰə-ʨʰuː	ʨʰə+ʨʰuː	tɕʰ ə + tɕʰ uː	i n + i n	tɕʰ ə + tɕʰ uː	14 13	_cha-prefix INDIAN	
2047	Rupa	Indo-Aryan person	nə-ʨʰuː ~ də-ʨʰuː	nə+ʨʰuː	n~d/n ə + tɕʰ uː	i n + i n	n~d/n ə + tɕʰ uː	16 13	_na-prefix7 INDIAN	
2048	Shergaon	Indo-Aryan person	də-ʨʰuː	də+ʨʰuː	d ə + tɕʰ uː	i n + i n	d ə + tɕʰ uː	16 13	_da-prefix3 INDIAN	
#
2091	Khoina	Jerigaon people	də-ʨĩː-ʥi	də+ʨĩː+ʥi	d ə + tɕ ĩː + dʑ i	i n + i n + i n	d ə + tɕ ĩː + dʑ i	19 17 18	_da-prefix3 JERIGAON _ji-suffix1	
2092	Jerigaon	Jerigaon people	kʰ-ʨĩː-ʥi	kʰ+ʨĩː+ʥi	kʰ + tɕ ĩː + dʑ i	i + i n + i n	kʰ + tɕ ĩː + dʑ i	20 17 18	_soil-prefix1 JERIGAON _ji-suffix1	
2095	Rupa	Jerigaon people	di-ʨʰi-ʥi	di+ʨʰi+ʥi	d i + tɕʰ i + dʑ i	i n + i n + i n	d i + tɕʰ i + dʑ i	19 17 18	_da-prefix3 JERIGAON _ji-suffix1	
#
2113	Khispi	Khoitam people	kʰus-tam-bi	kʰus+tam+bi	kʰ u s + t a m + b i	i n c + i n c + i n	kʰ u s + t a m + b i	21 23 18	_soil-prefix2 KHOITAM _ji-suffix1	
2115	Khoina	Khoitam people	gə-tam-ʥi	gə+tam+ʥi	g ə + t a m + dʑ i	i n + i n c + i n	g ə - + t a m + dʑ i	21 23 18	_soil-prefix2 KHOITAM _ji-suffix1	
2116	Jerigaon	Khoitam people	kʰ-tam-ʥi	kʰ+tam+ʥi	kʰ + t a m + dʑ i	i + i n c + i n	kʰ - - + t a m + dʑ i	21 23 18	_soil-prefix2 KHOITAM _ji-suffix1	
2119	Rupa	Khoitam people	gə-tam-ʥi	gə+tam+ʥi	g ə + t a m + dʑ i	i n + i n c + i n	g ə - + t a m + dʑ i	21 23 18	_soil-prefix2 KHOITAM _ji-suffix1	
2120	Shergaon	Khoitam people	ka-tam-ʥi	ka+tam+ʥi	k a + t a m + dʑ i	i n + i n c + i n	k a - + t a m + dʑ i	21 23 18	_soil-prefix2 KHOITAM _ji-suffix1	
#
2499	Khoina	Miji people	kʰu-nɔ̃ː	kʰu+nɔ̃ː	kʰ u + n ɔ̃ː	i n + i n	kʰ u + n ɔ̃ː -	25 24	_soil-prefix2 MIJI	
2500	Jerigaon	Miji people	kʰu-nɔ̃ː-ʥi	kʰu+nɔ̃ː+ʥi	kʰ u + n ɔ̃ː + dʑ i	i n + i n + i n	kʰ u + n ɔ̃ː - + dʑ i	25 24 26	_soil-prefix2 MIJI _ji-suffix1	
2502	Rahung	Miji people	kʰu-nũː(ŋ)	kʰu+nũː	kʰ u + n ũː ?ŋ	i n + i n c	kʰ u + n ũː ?ŋ	25 24	_soil-prefix2 MIJI	
2503	Rupa	Miji people	kʰu-nũː	kʰu+nũː	kʰ u + n ũː	i n + i n	kʰ u + n ũː -	25 24	_soil-prefix2 MIJI	
2504	Shergaon	Miji people	kʰu-nɔ̃ː	kʰu+nɔ̃ː	kʰ u + n ɔ̃ː	i n + i n	kʰ u + n ɔ̃ː -	25 24	_soil-prefix2 MIJI	
#
2537	Khispi	Monpa	mɔn-pa	mɔn+pa	m ɔ n + p a	i n c + i n	m ɔ n + p a	30 28	MONPA _pa-suffix1	
2538	Duhumbi	Monpa	mɔn-pa	mɔn+pa	m ɔ n + p a	i n c + i n	m ɔ n + p a	30 28	MONPA _pa-suffix1	
2539	Khoina	Monpa	ʥə-mɐ̃ː	ʥə+mɐ̃ː	dʑ ə + m ɐ̃ː	i n + i n	dʑ ə + m ɐ̃ː -	29 30	_human-prefix MONPA	
2542	Rahung	Monpa	mɔn-pa	mɔn+pa	m ɔ n + p a	i n c + i n	m ɔ n + p a	30 28	MONPA _pa-suffix1	
2543	Rupa	Monpa	ʥə-mɔ̃ː	ʥə+mɔ̃ː	dʑ ə + m ɔ̃ː	i n + i n	dʑ ə + m ɔ̃ː -	29 30	_human-prefix MONPA	
2544	Shergaon	Monpa	ʥɔ-mɔ̃ː	ʥɔ+mɔ̃ː	dʑ ɔ + m ɔ̃ː	i n + i n	dʑ ɔ + m ɔ̃ː -	29 30	_human-prefix MONPA	
#
2657	Khispi	Namshu people	nam-ɕu-pa	nam+ɕu+pa	n a m + ɕ u + p a	i n c + i n + i n	n a m + ɕ u + p a	33 31 32	_sky-prefix1 NAMSHU _pa-suffix2	
2658	Duhumbi	Namshu people	nam-ɕu-pa	nam+ɕu+pa	n a m + ɕ u + p a	i n c + i n + i n	n a m + ɕ u + p a	33 31 32	_sky-prefix1 NAMSHU _pa-suffix2	
2659	Khoina	Namshu people	na-ʦʰɔː-ʥi	na+ʦʰɔː+ʥi	n a + tsʰ ɔː + dʑ i	i n + i n + i n	n a - + tsʰ ɔː + dʑ i	33 31 32	_sky-prefix1 NAMSHU _ji-suffix1	
2660	Jerigaon	Namshu people	nə-ʨo-ʥi	nə+ʨo+ʥi	n ə + tɕ o + dʑ i	i n + i n + i n	n ə - + tɕ o + dʑ i	33 31 32	_sky-prefix1 NAMSHU _ji-suffix1	no asp. sec. source check!'
2662	Rahung	Namshu people	pʰ-ʨʰoː-ʥi	pʰ+ʨʰoː+ʥi	pʰ + tɕʰ oː + dʑ i	i + i n + i n	pʰ - - + tɕʰ oː + dʑ i	33 31 32	_sky-prefix1 NAMSHU _ji-suffix1	n- > ph- in Rahung
#
3073	Khispi	Puroik	bi-ɕ-taŋ	bi+ɕ+taŋ	b i + ɕ + t a ŋ	i n + i + i n c	b i + ɕ + t a ŋ	15 38 35	_human-prefix _sa-prefix8 PUROIK	
3074	Duhumbi	Puroik	bi-s-taŋ	bi+s+taŋ	b i + s + t a ŋ	i n + i + i n c	b i + s + t a ŋ	15 38 35	_human-prefix _sa-prefix8 PUROIK	
3075	Khoina	Puroik	ɕ-taŋ	ɕ+taŋ	ɕ + t a ŋ	i + i n c	ɕ + t a ŋ	38 35	_sa-prefix8 PUROIK	
3079	Rupa	Puroik	s-taŋ	s+taŋ	s + t a ŋ	i + i n c	s + t a ŋ	38 35	_sa-prefix8 PUROIK	
#
3137	Khispi	Rahung, people of	la-pʰuŋ-bi	la+pʰuŋ+bi	l a + pʰ u ŋ + b i	i n + i n c + i n	l a + pʰ u ŋ + b i	41 40 18	RAHUNG1 RAHUNG2 _ji-suffix1	
